,channel,number_subscribers,action,date
584,Устройства Sber с ассистентом Салют,10693,упомянул канал,"26 Dec 2023, 13:46"
585,Вслух news,5171,упомянул канал,"26 Dec 2023, 13:44"
586,Кинопоиск | Индустрия,21872,упомянул канал,"26 Dec 2023, 13:34"
587,Новости кино,50,упомянул канал,"26 Dec 2023, 13:02"
588,Обсуждаем фильмы. Поиском кино не занимаемся,1374,репостнул запись,"26 Dec 2023, 13:01"
589,Комендант кинокрепости,3328,упомянул запись,"26 Dec 2023, 11:53"
590,Новости кино,50,упомянул канал,"26 Dec 2023, 11:16"
591,Обсуждаем фильмы. Поиском кино не занимаемся,1375,упомянул канал,"26 Dec 2023, 11:16"
592,Обсуждаем фильмы. Поиском кино не занимаемся,1376,репостнул запись,"26 Dec 2023, 10:02"
593,Новости кино,50,упомянул канал,"26 Dec 2023, 10:02"
594,И Грянул Грэм Chat,4790,репостнул запись,"26 Dec 2023, 04:09"
595,И Грянул Грэм Chat,4790,упомянул канал,"26 Dec 2023, 04:09"
596,На дне,101,упомянул канал,"25 Dec 2023, 21:53"
597,"Журнал ""Родина""",3666,упомянул канал,"25 Dec 2023, 21:18"
598,Новости кино,50,упомянул канал,"25 Dec 2023, 20:58"
599,Обсуждаем фильмы. Поиском кино не занимаемся,1375,упомянул канал,"25 Dec 2023, 20:58"
600,IPQuorum,10195,упомянул канал,"25 Dec 2023, 19:37"
601,ШиЗоХатА в норе у Енота🦝🦝🦝,611,упомянул канал,"25 Dec 2023, 19:29"
602,Еще то Кино,13247,упомянул канал,"25 Dec 2023, 19:25"
603,Новости кино,50,упомянул канал,"25 Dec 2023, 19:06"
604,Ремизорро,20424,упомянул канал,"25 Dec 2023, 19:06"
605,Обсуждаем фильмы. Поиском кино не занимаемся,1374,упомянул канал,"25 Dec 2023, 19:06"
606,кино про тебя,17749,упомянул канал,"25 Dec 2023, 17:26"
607,🎬 КиноДед,1313,репостнул запись,"25 Dec 2023, 17:00"
608,"Недвижимость за рубежом,туризм, новости -Discount-House-Service",513,упомянул канал,"25 Dec 2023, 16:13"
609,Alperina,8649,упомянул канал,"25 Dec 2023, 16:01"
610,ORIGINAL+,499,упомянул канал,"25 Dec 2023, 15:43"
611,SHOT NEWS,273,упомянул канал,"25 Dec 2023, 14:32"
612,СВЕЖЕСТИ,105947,упомянул канал,"25 Dec 2023, 14:32"
613,Новости кино,50,упомянул канал,"25 Dec 2023, 14:20"
614,Обсуждаем фильмы. Поиском кино не занимаемся,1375,репостнул запись,"25 Dec 2023, 14:20"
615,Кино (не) для всех,3184,упомянул канал,"25 Dec 2023, 13:26"
616,kiraderen - это мандарин,2059,репостнул запись,"25 Dec 2023, 13:18"
617,Новости кино,50,упомянул канал,"25 Dec 2023, 12:32"
618,Обсуждаем фильмы. Поиском кино не занимаемся,1375,упомянул канал,"25 Dec 2023, 12:32"
619,Обсуждаем фильмы. Поиском кино не занимаемся,1375,репостнул запись,"25 Dec 2023, 12:32"
620,Што это было,4589,упомянул канал,"25 Dec 2023, 12:18"
621,START Team,5502,упомянул канал,"25 Dec 2023, 11:22"
622,Кино-Театр.Ру🎭,16246,упомянул канал,"25 Dec 2023, 11:19"
623,Смотрим кино с психологом,181,репостнул запись,"25 Dec 2023, 11:14"
624,Обсуждаем фильмы. Поиском кино не занимаемся,1375,репостнул запись,"25 Dec 2023, 10:04"
625,Новости кино,50,упомянул канал,"25 Dec 2023, 10:04"
626,ШиЗоХатА в норе у Енота🦝🦝🦝,611,упомянул канал,"24 Dec 2023, 20:34"
627,Новости кино,50,упомянул канал,"24 Dec 2023, 20:30"
628,Обсуждаем фильмы. Поиском кино не занимаемся,1379,упомянул канал,"24 Dec 2023, 20:30"
629,Новости кино,50,упомянул канал,"24 Dec 2023, 19:02"
630,Обсуждаем фильмы. Поиском кино не занимаемся,1379,репостнул запись,"24 Dec 2023, 19:02"
631,Обсуждаем фильмы. Поиском кино не занимаемся,1379,репостнул запись,"24 Dec 2023, 17:00"
632,Новости кино,50,упомянул канал,"24 Dec 2023, 17:00"
633,Што это было,4593,упомянул канал,"24 Dec 2023, 16:39"
634,katya_drobina,56,репостнул запись,"24 Dec 2023, 16:37"
635,💡baimanoffline | Damir Baimanov,10641,репостнул запись,"24 Dec 2023, 15:06"
636,MindStorm,392,репостнул запись,"24 Dec 2023, 15:02"
637,Обсуждаем фильмы. Поиском кино не занимаемся,1379,репостнул запись,"24 Dec 2023, 15:00"
638,Новости кино,50,упомянул канал,"24 Dec 2023, 15:00"
639,Теодора Хайд • Яблоки Эдема • Купец удачи,64,репостнул запись,"24 Dec 2023, 14:03"
640,Обсуждаем фильмы. Поиском кино не занимаемся,1380,репостнул запись,"24 Dec 2023, 14:00"
641,Новости кино,50,упомянул канал,"24 Dec 2023, 14:00"
642,"Смотри, че смотрю | Новости кино",286,репостнул запись,"24 Dec 2023, 12:49"
643,Новости кино,50,упомянул канал,"24 Dec 2023, 12:11"
644,Обсуждаем фильмы. Поиском кино не занимаемся,1380,репостнул запись,"24 Dec 2023, 12:11"
645,Nota bene,93,упомянул запись,"23 Dec 2023, 22:02"
646,Новости кино,50,упомянул канал,"23 Dec 2023, 20:48"
647,Обсуждаем фильмы. Поиском кино не занимаемся,1380,репостнул запись,"23 Dec 2023, 20:47"
648,Обсуждаем фильмы. Поиском кино не занимаемся,1380,репостнул запись,"23 Dec 2023, 18:02"
649,Новости кино,50,упомянул канал,"23 Dec 2023, 18:02"
650,Новости кино,50,упомянул канал,"23 Dec 2023, 16:00"
651,Обсуждаем фильмы. Поиском кино не занимаемся,1379,упомянул канал,"23 Dec 2023, 16:00"
652,Обсуждаем фильмы. Поиском кино не занимаемся,1379,репостнул запись,"23 Dec 2023, 16:00"
653,Кинопоиск Видеоэссе,23395,репостнул запись,"23 Dec 2023, 14:21"
654,🎬 КиноДед,1314,репостнул запись,"23 Dec 2023, 13:37"
